year;state;month;number;date;;
2002;Pará;July;772;2002;Julho;
2003;Pará;July;1.571;2003;Julho;
2004;Pará;July;4.436;2004;Julho;
2005;Pará;July;4.364;2005;Julho;
2006;Pará;July;615;2006;Julho;
2007;Pará;July;476;2007;Julho;
2008;Pará;July;971;2008;Julho;
2009;Pará;July;397;2009;Julho;
2010;Pará;July;1.432;2010;Julho;
2011;Pará;July;632;2011;Julho;
2012;Pará;July;661;2012;Julho;
2013;Pará;July;447;2013;Julho;
2014;Pará;July;825;2014;Julho;
2015;Pará;July;906;2015;Julho;
2016;Pará;July;1.579;2016;Julho;
2017;Pará;July;4.985;2017;Julho;
1998;Pará;Aug;6.815;1998;Agosto;
1999;Pará;Aug;6.178;1999;Agosto;
2000;Pará;Aug;5.484;2000;Agosto;
2001;Pará;Aug;9.043;2001;Agosto;
2002;Pará;Aug;15.664;2002;Agosto;
2003;Pará;Aug;6.255;2003;Agosto;
2004;Pará;Aug;12.812;2004;Agosto;
2005;Pará;Aug;13.055;2005;Agosto;
2006;Pará;Aug;7.575;2006;Agosto;
2007;Pará;Aug;14.352;2007;Agosto;
2008;Pará;Aug;4.435;2008;Agosto;
2009;Pará;Aug;3.859;2009;Agosto;
2010;Pará;Aug;18.13;2010;Agosto;
2011;Pará;Aug;2.195;2011;Agosto;
2012;Pará;Aug;6.964;2012;Agosto;
2013;Pará;Aug;2.161;2013;Agosto;
2014;Pará;Aug;8.555;2014;Agosto;
2015;Pará;Aug;7.913;2015;Agosto;
2016;Pará;Aug;4.863;2016;Agosto;
2017;Pará;Aug;11.962;2017;Agosto;
1998;Pará;Sept;6.237;1998;Setembro;
1999;Pará;Sept;4.419;1999;Setembro;
2000;Pará;Sept;2.569;2000;Setembro;
2001;Pará;Sept;6.139;2001;Setembro;
2002;Pará;Sept;5.609;2002;Setembro;
2003;Pará;Sept;8.447;2003;Setembro;
2004;Pará;Sept;9.471;2004;Setembro;
2005;Pará;Sept;9.032;2005;Setembro;
2006;Pará;Sept;8.372;2006;Setembro;
2007;Pará;Sept;14.59;2007;Setembro;
2008;Pará;Sept;6.294;2008;Setembro;
2009;Pará;Sept;6.051;2009;Setembro;
2010;Pará;Sept;10.81;2010;Setembro;
2011;Pará;Sept;5.185;2011;Setembro;
2012;Pará;Sept;6.87;2012;Setembro;
2013;Pará;Sept;3.36;2013;Setembro;
2014;Pará;Sept;6.787;2014;Setembro;
2015;Pará;Sept;11.068;2015;Setembro;
2016;Pará;Sept;3.953;2016;Setembro;
2017;Pará;Sept;25.004;2017;Setembro;
1998;Pará;Oct;3.665;1998;Outubro;
1999;Pará;Oct;5.026;1999;Outubro;
2000;Pará;Oct;4.313;2000;Outubro;
2001;Pará;Oct;5.096;2001;Outubro;
2002;Pará;Oct;5.189;2002;Outubro;
2003;Pará;Oct;3.803;2003;Outubro;
2004;Pará;Oct;4.726;2004;Outubro;
2005;Pará;Oct;5.083;2005;Outubro;
2006;Pará;Oct;5.964;2006;Outubro;
2007;Pará;Oct;2.504;2007;Outubro;
2008;Pará;Oct;6.653;2008;Outubro;
2009;Pará;Oct;6.342;2009;Outubro;
2010;Pará;Oct;3.843;2010;Outubro;
2011;Pará;Oct;3.141;2011;Outubro;
2012;Pará;Oct;3.714;2012;Outubro;
2013;Pará;Oct;4.921;2013;Outubro;
2014;Pará;Oct;6.448;2014;Outubro;
2015;Pará;Oct;7.781;2015;Outubro;
2016;Pará;Oct;5.281;2016;Outubro;
2017;Pará;Oct;7.628;2017;Outubro;
1998;Pará;Nov;1.861;1998;Novembro;
1999;Pará;Nov;2.682;1999;Novembro;
2000;Pará;Nov;3.366;2000;Novembro;
2001;Pará;Nov;4.938;2001;Novembro;
2002;Pará;Nov;7.996;2002;Novembro;
2003;Pará;Nov;6.195;2003;Novembro;
2004;Pará;Nov;9.842;2004;Novembro;
2005;Pará;Nov;4.968;2005;Novembro;
2006;Pará;Nov;2.883;2006;Novembro;
2007;Pará;Nov;2.89;2007;Novembro;
2008;Pará;Nov;2.403;2008;Novembro;
2009;Pará;Nov;10.012;2009;Novembro;
2010;Pará;Nov;4.417;2010;Novembro;
2011;Pará;Nov;3.043;2011;Novembro;
2012;Pará;Nov;6.156;2012;Novembro;
2013;Pará;Nov;3.688;2013;Novembro;
2014;Pará;Nov;7.767;2014;Novembro;
2015;Pará;Nov;9.643;2015;Novembro;
2016;Pará;Nov;7.879;2016;Novembro;
2017;Pará;Nov;9.079;2017;Novembro;
1998;Pará;Dec;1.008;1998;Dezembro;
1999;Pará;Dec;766;1999;Dezembro;
2000;Pará;Dec;1.698;2000;Dezembro;
2001;Pará;Dec;2.564;2001;Dezembro;
2002;Pará;Dec;3.118;2002;Dezembro;
2003;Pará;Dec;4.787;2003;Dezembro;
2004;Pará;Dec;5.508;2004;Dezembro;
2005;Pará;Dec;1.495;2005;Dezembro;
2006;Pará;Dec;1.417;2006;Dezembro;
2007;Pará;Dec;689;2007;Dezembro;
2008;Pará;Dec;684;2008;Dezembro;
2009;Pará;Dec;2.832;2009;Dezembro;
2010;Pará;Dec;1.612;2010;Dezembro;
2011;Pará;Dec;3.218;2011;Dezembro;
2012;Pará;Dec;1.812;2012;Dezembro;
2013;Pará;Dec;5.514;2013;Dezembro;
2014;Pará;Dec;4.828;2014;Dezembro;
2015;Pará;Dec;6.61;2015;Dezembro;
2016;Pará;Dec;3.3;2016;Dezembro;
1998;Paraiba;Jan;0;1998;Janeiro;
1999;Paraiba;Jan;26;1999;Janeiro;
2000;Paraiba;Jan;0;2000;Janeiro;
2001;Paraiba;Jan;11;2001;Janeiro;
2002;Paraiba;Jan;5;2002;Janeiro;
2003;Paraiba;Jan;70;2003;Janeiro;
2004;Paraiba;Jan;33;2004;Janeiro;
2005;Paraiba;Jan;178;2005;Janeiro;
2006;Paraiba;Jan;83;2006;Janeiro;
2007;Paraiba;Jan;69;2007;Janeiro;
2008;Paraiba;Jan;77;2008;Janeiro;
2009;Paraiba;Jan;115;2009;Janeiro;
2010;Paraiba;Jan;46;2010;Janeiro;
2011;Paraiba;Jan;11;2011;Janeiro;
2012;Paraiba;Jan;61;2012;Janeiro;
2013;Paraiba;Jan;38;2013;Janeiro;
2014;Paraiba;Jan;75;2014;Janeiro;
2015;Paraiba;Jan;42;2015;Janeiro;
2016;Paraiba;Jan;18;2016;Janeiro;
2017;Paraiba;Jan;23;2017;Janeiro;
1998;Paraiba;Feb;0;1998;Fevereiro;
1999;Paraiba;Feb;2;1999;Fevereiro;
2000;Paraiba;Feb;11;2000;Fevereiro;
2001;Paraiba;Feb;6;2001;Fevereiro;
2002;Paraiba;Feb;18;2002;Fevereiro;
2003;Paraiba;Feb;3;2003;Fevereiro;
2004;Paraiba;Feb;3;2004;Fevereiro;
2005;Paraiba;Feb;15;2005;Fevereiro;
2006;Paraiba;Feb;7;2006;Fevereiro;
2007;Paraiba;Feb;7;2007;Fevereiro;
2008;Paraiba;Feb;20;2008;Fevereiro;
2009;Paraiba;Feb;9;2009;Fevereiro;
2010;Paraiba;Feb;15;2010;Fevereiro;
2011;Paraiba;Feb;5;2011;Fevereiro;
2012;Paraiba;Feb;15;2012;Fevereiro;
2013;Paraiba;Feb;9;2013;Fevereiro;
2014;Paraiba;Feb;6;2014;Fevereiro;
2015;Paraiba;Feb;15;2015;Fevereiro;
2016;Paraiba;Feb;4;2016;Fevereiro;
2017;Paraiba;Feb;8;2017;Fevereiro;
1998;Paraiba;Mar;0;1998;Março;
1999;Paraiba;Mar;1;1999;Março;
2000;Paraiba;Mar;5;2000;Março;
2001;Paraiba;Mar;0;2001;Março;
2002;Paraiba;Mar;3;2002;Março;
2003;Paraiba;Mar;0;2003;Março;
2004;Paraiba;Mar;3;2004;Março;
2005;Paraiba;Mar;13;2005;Março;
2006;Paraiba;Mar;4;2006;Março;
2007;Paraiba;Mar;1;2007;Março;
2008;Paraiba;Mar;8;2008;Março;
2009;Paraiba;Mar;2;2009;Março;
2010;Paraiba;Mar;16;2010;Março;
2011;Paraiba;Mar;6;2011;Março;
2012;Paraiba;Mar;4;2012;Março;
2013;Paraiba;Mar;3;2013;Março;
2014;Paraiba;Mar;18;2014;Março;
2015;Paraiba;Mar;7;2015;Março;
2016;Paraiba;Mar;1;2016;Março;
2017;Paraiba;Mar;2;2017;Março;
1998;Paraiba;Apr;0;1998;Abril;
1999;Paraiba;Apr;3;1999;Abril;
2000;Paraiba;Apr;1;2000;Abril;
2001;Paraiba;Apr;0;2001;Abril;
2002;Paraiba;Apr;1;2002;Abril;
2003;Paraiba;Apr;0;2003;Abril;
2004;Paraiba;Apr;3;2004;Abril;
2005;Paraiba;Apr;2;2005;Abril;
2006;Paraiba;Apr;0;2006;Abril;
2007;Paraiba;Apr;0;2007;Abril;
2008;Paraiba;Apr;0;2008;Abril;
2009;Paraiba;Apr;1;2009;Abril;
2010;Paraiba;Apr;2;2010;Abril;
2011;Paraiba;Apr;2;2011;Abril;
2012;Paraiba;Apr;13;2012;Abril;
2013;Paraiba;Apr;6;2013;Abril;
2014;Paraiba;Apr;8;2014;Abril;
2015;Paraiba;Apr;11;2015;Abril;
2016;Paraiba;Apr;1;2016;Abril;
2017;Paraiba;Apr;1;2017;Abril;
1998;Paraiba;May;0;1998;Maio;
1999;Paraiba;May;0;1999;Maio;
2000;Paraiba;May;0;2000;Maio;
2001;Paraiba;May;4;2001;Maio;
2002;Paraiba;May;1;2002;Maio;
2003;Paraiba;May;0;2003;Maio;
2004;Paraiba;May;1;2004;Maio;
2005;Paraiba;May;0;2005;Maio;
2006;Paraiba;May;0;2006;Maio;
2007;Paraiba;May;0;2007;Maio;
2008;Paraiba;May;0;2008;Maio;
2009;Paraiba;May;0;2009;Maio;
2010;Paraiba;May;10;2010;Maio;
2011;Paraiba;May;0;2011;Maio;
2012;Paraiba;May;10;2012;Maio;
2013;Paraiba;May;3;2013;Maio;
2014;Paraiba;May;1;2014;Maio;
2015;Paraiba;May;6;2015;Maio;
2016;Paraiba;May;1;2016;Maio;
2017;Paraiba;May;1;2017;Maio;
1998;Paraiba;June;3;1998;Junho;
1999;Paraiba;June;1;1999;Junho;
2000;Paraiba;June;2;2000;Junho;
2001;Paraiba;June;0;2001;Junho;
2002;Paraiba;June;1;2002;Junho;
2003;Paraiba;June;0;2003;Junho;
2004;Paraiba;June;0;2004;Junho;
2005;Paraiba;June;0;2005;Junho;
2006;Paraiba;June;0;2006;Junho;
2007;Paraiba;June;0;2007;Junho;
2008;Paraiba;June;0;2008;Junho;
2009;Paraiba;June;0;2009;Junho;
2010;Paraiba;June;3;2010;Junho;
2011;Paraiba;June;2;2011;Junho;
2012;Paraiba;June;5;2012;Junho;
2013;Paraiba;June;3;2013;Junho;
2014;Paraiba;June;1;2014;Junho;
2015;Paraiba;June;0;2015;Junho;
2016;Paraiba;June;4;2016;Junho;
2017;Paraiba;June;0;2017;Junho;
1998;Paraiba;July;0;1998;Julho;
1999;Paraiba;July;1;1999;Julho;
2000;Paraiba;July;0;2000;Julho;
2001;Paraiba;July;8;2001;Julho;
2002;Paraiba;July;8;2002;Julho;
2003;Paraiba;July;6;2003;Julho;
2004;Paraiba;July;1;2004;Julho;
2005;Paraiba;July;0;2005;Julho;
2006;Paraiba;July;1;2006;Julho;
2007;Paraiba;July;1;2007;Julho;
2008;Paraiba;July;0;2008;Julho;
2009;Paraiba;July;3;2009;Julho;
2010;Paraiba;July;7;2010;Julho;
2011;Paraiba;July;6;2011;Julho;
2012;Paraiba;July;5;2012;Julho;
2013;Paraiba;July;1;2013;Julho;
2014;Paraiba;July;9;2014;Julho;
2015;Paraiba;July;3;2015;Julho;
2016;Paraiba;July;22;2016;Julho;
2017;Paraiba;July;2;2017;Julho;
1998;Paraiba;Aug;3;1998;Agosto;
1999;Paraiba;Aug;4;1999;Agosto;
2000;Paraiba;Aug;7;2000;Agosto;
2001;Paraiba;Aug;34;2001;Agosto;
2002;Paraiba;Aug;38;2002;Agosto;
2003;Paraiba;Aug;14;2003;Agosto;
2004;Paraiba;Aug;18;2004;Agosto;
2005;Paraiba;Aug;0;2005;Agosto;
2006;Paraiba;Aug;3;2006;Agosto;
2007;Paraiba;Aug;8;2007;Agosto;
2008;Paraiba;Aug;1;2008;Agosto;
2009;Paraiba;Aug;4;2009;Agosto;
2010;Paraiba;Aug;9;2010;Agosto;
2011;Paraiba;Aug;12;2011;Agosto;
2012;Paraiba;Aug;13;2012;Agosto;
2013;Paraiba;Aug;3;2013;Agosto;
2014;Paraiba;Aug;30;2014;Agosto;
2015;Paraiba;Aug;5;2015;Agosto;
2016;Paraiba;Aug;50;2016;Agosto;
2017;Paraiba;Aug;3;2017;Agosto;
1998;Paraiba;Sept;50;1998;Setembro;
1999;Paraiba;Sept;14;1999;Setembro;
2000;Paraiba;Sept;9;2000;Setembro;
2001;Paraiba;Sept;98;2001;Setembro;
2002;Paraiba;Sept;63;2002;Setembro;
2003;Paraiba;Sept;81;2003;Setembro;
2004;Paraiba;Sept;34;2004;Setembro;
2005;Paraiba;Sept;13;2005;Setembro;
2006;Paraiba;Sept;27;2006;Setembro;
2007;Paraiba;Sept;22;2007;Setembro;
2008;Paraiba;Sept;21;2008;Setembro;
2009;Paraiba;Sept;28;2009;Setembro;
2010;Paraiba;Sept;37;2010;Setembro;
2011;Paraiba;Sept;55;2011;Setembro;
2012;Paraiba;Sept;71;2012;Setembro;
2013;Paraiba;Sept;25;2013;Setembro;
2014;Paraiba;Sept;51;2014;Setembro;
2015;Paraiba;Sept;48;2015;Setembro;
2016;Paraiba;Sept;131;2016;Setembro;
2017;Paraiba;Sept;30;2017;Setembro;
1998;Paraiba;Oct;179;1998;Outubro;
1999;Paraiba;Oct;48;1999;Outubro;
2000;Paraiba;Oct;125;2000;Outubro;
2001;Paraiba;Oct;279;2001;Outubro;
2002;Paraiba;Oct;193;2002;Outubro;
2003;Paraiba;Oct;381;2003;Outubro;
2004;Paraiba;Oct;190;2004;Outubro;
2005;Paraiba;Oct;155;2005;Outubro;
2006;Paraiba;Oct;135;2006;Outubro;
2007;Paraiba;Oct;111;2007;Outubro;
2008;Paraiba;Oct;80;2008;Outubro;
2009;Paraiba;Oct;117;2009;Outubro;
2010;Paraiba;Oct;150;2010;Outubro;
2011;Paraiba;Oct;200;2011;Outubro;
2012;Paraiba;Oct;136;2012;Outubro;
2013;Paraiba;Oct;58;2013;Outubro;
2014;Paraiba;Oct;70;2014;Outubro;
2015;Paraiba;Oct;121;2015;Outubro;
2016;Paraiba;Oct;304;2016;Outubro;
2017;Paraiba;Oct;123;2017;Outubro;
1998;Paraiba;Nov;46;1998;Novembro;
1999;Paraiba;Nov;38;1999;Novembro;
2000;Paraiba;Nov;65;2000;Novembro;
2001;Paraiba;Nov;294;2001;Novembro;
2002;Paraiba;Nov;238;2002;Novembro;
2003;Paraiba;Nov;538;2003;Novembro;
2004;Paraiba;Nov;331;2004;Novembro;
2005;Paraiba;Nov;280;2005;Novembro;
2006;Paraiba;Nov;215;2006;Novembro;
2007;Paraiba;Nov;256;2007;Novembro;
2008;Paraiba;Nov;175;2008;Novembro;
2009;Paraiba;Nov;428;2009;Novembro;
2010;Paraiba;Nov;451;2010;Novembro;
2011;Paraiba;Nov;359;2011;Novembro;
2012;Paraiba;Nov;130;2012;Novembro;
2013;Paraiba;Nov;95;2013;Novembro;
2014;Paraiba;Nov;111;2014;Novembro;
2015;Paraiba;Nov;206;2015;Novembro;
2016;Paraiba;Nov;132;2016;Novembro;
2017;Paraiba;Nov;101;2017;Novembro;
1998;Paraiba;Dec;51;1998;Dezembro;
1999;Paraiba;Dec;40;1999;Dezembro;
2000;Paraiba;Dec;34;2000;Dezembro;
2001;Paraiba;Dec;70;2001;Dezembro;
2002;Paraiba;Dec;163;2002;Dezembro;
2003;Paraiba;Dec;288;2003;Dezembro;
2004;Paraiba;Dec;351;2004;Dezembro;
2005;Paraiba;Dec;159;2005;Dezembro;
2006;Paraiba;Dec;196;2006;Dezembro;
2007;Paraiba;Dec;133;2007;Dezembro;
2008;Paraiba;Dec;187;2008;Dezembro;
2009;Paraiba;Dec;270;2009;Dezembro;
2010;Paraiba;Dec;65;2010;Dezembro;
2011;Paraiba;Dec;179;2011;Dezembro;
2012;Paraiba;Dec;62;2012;Dezembro;
2013;Paraiba;Dec;78;2013;Dezembro;
2014;Paraiba;Dec;62;2014;Dezembro;
2015;Paraiba;Dec;122;2015;Dezembro;
2016;Paraiba;Dec;8;2016;Dezembro;
1998;Paraiba;Jan;0;1998;Janeiro;
1999;Paraiba;Jan;7;1999;Janeiro;
2000;Paraiba;Jan;49;2000;Janeiro;
2001;Paraiba;Jan;32;2001;Janeiro;
2002;Paraiba;Jan;47;2002;Janeiro;
2003;Paraiba;Jan;109;2003;Janeiro;
2004;Paraiba;Jan;88;2004;Janeiro;
2005;Paraiba;Jan;55;2005;Janeiro;
2006;Paraiba;Jan;78;2006;Janeiro;
2007;Paraiba;Jan;11;2007;Janeiro;
2008;Paraiba;Jan;35;2008;Janeiro;
2009;Paraiba;Jan;35;2009;Janeiro;
2010;Paraiba;Jan;18;2010;Janeiro;
2011;Paraiba;Jan;35;2011;Janeiro;
2012;Paraiba;Jan;31;2012;Janeiro;
2013;Paraiba;Jan;28;2013;Janeiro;
2014;Paraiba;Jan;86;2014;Janeiro;
2015;Paraiba;Jan;120;2015;Janeiro;
2016;Paraiba;Jan;113;2016;Janeiro;
2017;Paraiba;Jan;55;2017;Janeiro;
1998;Paraiba;Feb;0;1998;Fevereiro;
1999;Paraiba;Feb;22;1999;Fevereiro;
2000;Paraiba;Feb;67;2000;Fevereiro;
2001;Paraiba;Feb;8;2001;Fevereiro;
2002;Paraiba;Feb;24;2002;Fevereiro;
2003;Paraiba;Feb;46;2003;Fevereiro;
2004;Paraiba;Feb;42;2004;Fevereiro;
2005;Paraiba;Feb;77;2005;Fevereiro;
2006;Paraiba;Feb;60;2006;Fevereiro;
2007;Paraiba;Feb;32;2007;Fevereiro;
2008;Paraiba;Feb;38;2008;Fevereiro;
2009;Paraiba;Feb;21;2009;Fevereiro;
2010;Paraiba;Feb;46;2010;Fevereiro;
2011;Paraiba;Feb;8;2011;Fevereiro;
2012;Paraiba;Feb;40;2012;Fevereiro;
2013;Paraiba;Feb;9;2013;Fevereiro;
2014;Paraiba;Feb;52;2014;Fevereiro;
2015;Paraiba;Feb;58;2015;Fevereiro;
2016;Paraiba;Feb;31;2016;Fevereiro;
2017;Paraiba;Feb;60;2017;Fevereiro;
1998;Paraiba;Mar;0;1998;Março;
1999;Paraiba;Mar;40;1999;Março;
2000;Paraiba;Mar;52;2000;Março;
2001;Paraiba;Mar;12;2001;Março;
2002;Paraiba;Mar;18;2002;Março;
2003;Paraiba;Mar;76;2003;Março;
2004;Paraiba;Mar;83;2004;Março;
2005;Paraiba;Mar;84;2005;Março;
2006;Paraiba;Mar;56;2006;Março;
2007;Paraiba;Mar;54;2007;Março;
2008;Paraiba;Mar;43;2008;Março;
2009;Paraiba;Mar;57;2009;Março;
2010;Paraiba;Mar;22;2010;Março;
2011;Paraiba;Mar;21;2011;Março;
2012;Paraiba;Mar;55;2012;Março;
2013;Paraiba;Mar;18;2013;Março;
2014;Paraiba;Mar;42;2014;Março;
2015;Paraiba;Mar;55;2015;Março;
2016;Paraiba;Mar;63;2016;Março;
2017;Paraiba;Mar;43;2017;Março;
1998;Paraiba;Apr;0;1998;Abril;
1999;Paraiba;Apr;39;1999;Abril;
2000;Paraiba;Apr;51;2000;Abril;
2001;Paraiba;Apr;43;2001;Abril;
2002;Paraiba;Apr;84;2002;Abril;
2003;Paraiba;Apr;130;2003;Abril;
2004;Paraiba;Apr;68;2004;Abril;
2005;Paraiba;Apr;22;2005;Abril;
2006;Paraiba;Apr;49;2006;Abril;
2007;Paraiba;Apr;14;2007;Abril;
2008;Paraiba;Apr;62;2008;Abril;
2009;Paraiba;Apr;80;2009;Abril;
2010;Paraiba;Apr;71;2010;Abril;
2011;Paraiba;Apr;38;2011;Abril;
2012;Paraiba;Apr;38;2012;Abril;
2013;Paraiba;Apr;72;2013;Abril;
2014;Paraiba;Apr;38;2014;Abril;
2015;Paraiba;Apr;83;2015;Abril;
2016;Paraiba;Apr;167;2016;Abril;
2017;Paraiba;Apr;77;2017;Abril;
1998;Paraiba;May;0;1998;Maio;
1999;Paraiba;May;57;1999;Maio;
2000;Paraiba;May;43;2000;Maio;
2001;Paraiba;May;26;2001;Maio;
2002;Paraiba;May;65;2002;Maio;
2003;Paraiba;May;115;2003;Maio;
2004;Paraiba;May;9;2004;Maio;
2005;Paraiba;May;125;2005;Maio;
2006;Paraiba;May;90;2006;Maio;
2007;Paraiba;May;14;2007;Maio;
2008;Paraiba;May;41;2008;Maio;
2009;Paraiba;May;117;2009;Maio;
2010;Paraiba;May;39;2010;Maio;
2011;Paraiba;May;97;2011;Maio;
2012;Paraiba;May;86;2012;Maio;
2013;Paraiba;May;85;2013;Maio;
2014;Paraiba;May;109;2014;Maio;
2015;Paraiba;May;77;2015;Maio;
2016;Paraiba;May;72;2016;Maio;
2017;Paraiba;May;49;2017;Maio;
1998;Paraiba;June;36;1998;Junho;
1999;Paraiba;June;31;1999;Junho;
2000;Paraiba;June;53;2000;Junho;
2001;Paraiba;June;43;2001;Junho;
2002;Paraiba;June;115;2002;Junho;
2003;Paraiba;June;159;2003;Junho;
2004;Paraiba;June;147;2004;Junho;
2005;Paraiba;June;114;2005;Junho;
2006;Paraiba;June;62;2006;Junho;
2007;Paraiba;June;57;2007;Junho;
2008;Paraiba;June;17;2008;Junho;
2009;Paraiba;June;105;2009;Junho;
2010;Paraiba;June;55;2010;Junho;
2011;Paraiba;June;162;2011;Junho;
2012;Paraiba;June;77;2012;Junho;
2013;Paraiba;June;52;2013;Junho;
2014;Paraiba;June;112;2014;Junho;
2015;Paraiba;June;201;2015;Junho;
2016;Paraiba;June;238;2016;Junho;
2017;Paraiba;June;169;2017;Junho;
1998;Paraiba;July;59;1998;Julho;
1999;Paraiba;July;94;1999;Julho;
2000;Paraiba;July;98;2000;Julho;
2001;Paraiba;July;122;2001;Julho;
2002;Paraiba;July;172;2002;Julho;
2003;Paraiba;July;101;2003;Julho;
2004;Paraiba;July;148;2004;Julho;
2005;Paraiba;July;155;2005;Julho;
2006;Paraiba;July;139;2006;Julho;
2007;Paraiba;July;60;2007;Julho;
2008;Paraiba;July;87;2008;Julho;
2009;Paraiba;July;34;2009;Julho;
2010;Paraiba;July;196;2010;Julho;
2011;Paraiba;July;262;2011;Julho;
2012;Paraiba;July;111;2012;Julho;
2013;Paraiba;July;168;2013;Julho;
2014;Paraiba;July;215;2014;Julho;
2015;Paraiba;July;137;2015;Julho;
2016;Paraiba;July;504;2016;Julho;
2017;Paraiba;July;891;2017;Julho;
1998;Paraiba;Aug;42;1998;Agosto;
1999;Paraiba;Aug;938;1999;Agosto;
2000;Paraiba;Aug;849;2000;Agosto;
2001;Paraiba;Aug;342;2001;Agosto;
2002;Paraiba;Aug;1.593;2002;Agosto;
2003;Paraiba;Aug;1.896;2003;Agosto;
2004;Paraiba;Aug;1.237;2004;Agosto;
2005;Paraiba;Aug;800;2005;Agosto;
2006;Paraiba;Aug;844;2006;Agosto;
2007;Paraiba;Aug;580;2007;Agosto;
2008;Paraiba;Aug;205;2008;Agosto;
2009;Paraiba;Aug;844;2009;Agosto;
2010;Paraiba;Aug;733;2010;Agosto;
2011;Paraiba;Aug;435;2011;Agosto;
2012;Paraiba;Aug;522;2012;Agosto;
2013;Paraiba;Aug;481;2013;Agosto;
2014;Paraiba;Aug;646;2014;Agosto;
2015;Paraiba;Aug;651;2015;Agosto;
2016;Paraiba;Aug;1.01;2016;Agosto;
2017;Paraiba;Aug;987;2017;Agosto;
1998;Paraiba;Sept;61;1998;Setembro;
1999;Paraiba;Sept;878;1999;Setembro;
2000;Paraiba;Sept;381;2000;Setembro;
2001;Paraiba;Sept;258;2001;Setembro;
2002;Paraiba;Sept;1.071;2002;Setembro;
2003;Paraiba;Sept;2.446;2003;Setembro;
2004;Paraiba;Sept;1.36;2004;Setembro;
2005;Paraiba;Sept;386;2005;Setembro;
2006;Paraiba;Sept;866;2006;Setembro;
2007;Paraiba;Sept;960;2007;Setembro;
2008;Paraiba;Sept;413;2008;Setembro;
2009;Paraiba;Sept;149;2009;Setembro;
2010;Paraiba;Sept;270;2010;Setembro;
2011;Paraiba;Sept;913;2011;Setembro;
2012;Paraiba;Sept;459;2012;Setembro;
2013;Paraiba;Sept;476;2013;Setembro;
2014;Paraiba;Sept;443;2014;Setembro;
2015;Paraiba;Sept;599;2015;Setembro;
2016;Paraiba;Sept;1.371;2016;Setembro;
2017;Paraiba;Sept;1.706;2017;Setembro;
1998;Paraiba;Oct;61;1998;Outubro;
1999;Paraiba;Oct;452;1999;Outubro;
2000;Paraiba;Oct;658;2000;Outubro;
2001;Paraiba;Oct;209;2001;Outubro;
2002;Paraiba;Oct;399;2002;Outubro;
2003;Paraiba;Oct;1.228;2003;Outubro;
2004;Paraiba;Oct;666;2004;Outubro;
2005;Paraiba;Oct;157;2005;Outubro;
2006;Paraiba;Oct;327;2006;Outubro;
2007;Paraiba;Oct;194;2007;Outubro;
2008;Paraiba;Oct;78;2008;Outubro;
2009;Paraiba;Oct;424;2009;Outubro;
2010;Paraiba;Oct;230;2010;Outubro;
2011;Paraiba;Oct;256;2011;Outubro;
2012;Paraiba;Oct;145;2012;Outubro;
2013;Paraiba;Oct;233;2013;Outubro;
2014;Paraiba;Oct;411;2014;Outubro;
2015;Paraiba;Oct;158;2015;Outubro;
2016;Paraiba;Oct;193;2016;Outubro;
2017;Paraiba;Oct;134;2017;Outubro;
1998;Paraiba;Nov;143;1998;Novembro;
1999;Paraiba;Nov;447;1999;Novembro;
2000;Paraiba;Nov;85;2000;Novembro;
2001;Paraiba;Nov;89;2001;Novembro;
2002;Paraiba;Nov;425;2002;Novembro;
2003;Paraiba;Nov;503;2003;Novembro;
2004;Paraiba;Nov;388;2004;Novembro;
2005;Paraiba;Nov;597;2005;Novembro;
2006;Paraiba;Nov;60;2006;Novembro;
2007;Paraiba;Nov;59;2007;Novembro;
2008;Paraiba;Nov;39;2008;Novembro;
2009;Paraiba;Nov;90;2009;Novembro;
2010;Paraiba;Nov;183;2010;Novembro;
2011;Paraiba;Nov;138;2011;Novembro;
2012;Paraiba;Nov;142;2012;Novembro;
2013;Paraiba;Nov;126;2013;Novembro;
2014;Paraiba;Nov;68;2014;Novembro;
2015;Paraiba;Nov;18;2015;Novembro;
2016;Paraiba;Nov;275;2016;Novembro;
2017;Paraiba;Nov;292;2017;Novembro;
1998;Paraiba;Dec;82;1998;Dezembro;
1999;Paraiba;Dec;254;1999;Dezembro;
2000;Paraiba;Dec;159;2000;Dezembro;
2001;Paraiba;Dec;85;2001;Dezembro;
2002;Paraiba;Dec;165;2002;Dezembro;
2003;Paraiba;Dec;171;2003;Dezembro;
2004;Paraiba;Dec;151;2004;Dezembro;
2005;Paraiba;Dec;40;2005;Dezembro;
2006;Paraiba;Dec;6;2006;Dezembro;
2007;Paraiba;Dec;22;2007;Dezembro;
2008;Paraiba;Dec;62;2008;Dezembro;
2009;Paraiba;Dec;30;2009;Dezembro;
2010;Paraiba;Dec;37;2010;Dezembro;
2011;Paraiba;Dec;78;2011;Dezembro;
2012;Paraiba;Dec;54;2012;Dezembro;
2013;Paraiba;Dec;155;2013;Dezembro;
2014;Paraiba;Dec;78;2014;Dezembro;
2015;Paraiba;Dec;30;2015;Dezembro;
2016;Paraiba;Dec;45;2016;Dezembro;
1998;Pernambuco;Jan;0;1998;Janeiro;
1999;Pernambuco;Jan;102;1999;Janeiro;
2000;Pernambuco;Jan;3;2000;Janeiro;
2001;Pernambuco;Jan;7;2001;Janeiro;
